Judge_A,Judge_B,Post_AO,Post_BO,Post_AS,Post_BS
0.9,-0.45,0.952554745,0.047445255,0.85,0.15
0.93,-0.55,0.979362101,0.020637899,0.9,0.1
0.9,-0.33,0.949954504,0.050045496,0.9,0.1
0.9,-0.15,0.876819709,0.123180291,0.89,0.11
0.93,-0.45,0.946795647,0.053204353,0.9,0.1
0.95,-0.67,0.979362101,0.020637899,0.92,0.08
0.98,-0.9,0.992723665,0.007276335,0.95,0.05
0,0,0.666666667,0.333333333,0.6,0.4
0.15,-0.05,0.805555556,0.194444444,0.75,0.25
0.13,-0.05,0.623655914,0.376344086,0.625,0.375
0.2,-0.13,0.781144781,0.218855219,0.702702703,0.297297297
0.25,-0.2,0.889267462,0.110732538,0.85,0.15
0.55,-0.55,0.949954504,0.050045496,0.875,0.125
0.65,-0.67,0.979362101,0.020637899,0.9,0.1
0.9,-0.75,0.946795647,0.053204353,0.925,0.075
0.9,-0.9,0.979362101,0.020637899,0.95,0.05
0.9,-0.95,0.992723665,0.007276335,0.96,0.04
0,0,0.666666667,0.333333333,0.6,0.4
-0.05,0.1,0.444444444,0.555555556,0.5,0.5
-0.1,0.1,0.230769231,0.769230769,0.5,0.5
-0.18,0.2,0.094488189,0.905511811,0.45,0.55
-0.1,0.1,0.17773238,0.82226762,0.45,0.55
-0.15,0.15,0.064349112,0.935650888,0.45,0.55
-0.1,0.13,0.12901859,0.87098141,0.42,0.58
-0.08,0.08,0.249977196,0.750022804,0.48,0.52
-0.18,0.18,0.086946866,0.913053134,0.42,0.58
-0.35,0.33,0.023253051,0.976746949,0.35,0.65
-0.6,-0.15,0.285714286,0.714285714,0.285714286,0.714285714
-0.6,-0.05,0.130434783,0.869565217,0.285714286,0.714285714
-0.6,-0.07,0.230769231,0.769230769,0.5,0.5
-0.7,0.04,0.094488189,0.905511811,0.333333333,0.666666667
-0.68,0.08,0.03213466,0.96786534,0.333333333,0.666666667
-0.6,0,0.064349112,0.935650888,0.4,0.6
0,-0.1,0.12901859,0.87098141,0.5,0.5
-0.72,0.2,0.040604399,0.959395601,0.333333333,0.666666667
-0.78,0.33,0.010469944,0.989530056,0.285714286,0.714285714
-0.75,0.18,0.023253051,0.976746949,0.285714286,0.714285714
0,0,0.285714286,0.714285714,0.5,0.5
0.4,0.4,0.444444444,0.555555556,0.5,0.5
0.4,0.5,0.230769231,0.769230769,0.3,0.7
-0.3,0.6,0.094488189,0.905511811,0.5,0.5
-0.45,0.28,0.03213466,0.96786534,0.2,0.8
-0.55,0.55,0.009397024,0.990602976,0.15,0.85
-0.33,0.35,0.019271237,0.980728763,0.17,0.83
-0.45,0.6,0.004888464,0.995111536,0.15,0.85
-0.65,0.5,0.001033138,0.998966862,0.15,0.85
-0.67,0.5,0.000172338,0.999827662,0.15,0.85
0.05,-0.02,0.666666667,0.333333333,0.55,0.45
0.1,-0.05,0.805555556,0.194444444,0.6,0.4
0.12,-0.1,0.899224806,0.100775194,0.6,0.4
0.18,-0.15,0.952554745,0.047445255,0.6,0.4
0.2,-0.16,0.889267462,0.110732538,0.55,0.45
0.11,-0.1,0.75071908,0.24928092,0.55,0.45
0.1,-0.07,0.511597517,0.488402483,0.54,0.46
0.17,-0.09,0.712303844,0.287696156,0.55,0.45
0.2,-0.13,0.860912589,0.139087411,0.6,0.4
0.22,-0.15,0.942876496,0.057123504,0.7,0.3
0,0,0.666666667,0.333333333,0.666666667,0.333333333
0.11,-0.1,0.805555556,0.194444444,0.75,0.25
0.25,-0.45,0.899224806,0.100775194,0.8,0.2
0.45,-0.5,0.952554745,0.047445255,0.82,0.18
0.45,-0.65,0.979362101,0.020637899,0.85,0.15
0.47,-0.66,0.991641337,0.008358663,0.87,0.13
0.48,-0.7,0.99684904,0.00315096,0.9,0.1
0.52,-0.72,0.998901757,0.001098243,0.93,0.07
0.62,-0.68,0.997258909,0.002741091,0.9,0.1
0.6,-0.64,0.992723665,0.007276335,0.88,0.12
-0.75,-0.75,0.285714286,0.714285714,0.3,0.7
-0.75,-0.4,0.130434783,0.869565217,0.3,0.7
-0.55,-0.42,0.230769231,0.769230769,0.3,0.7
-0.84,-0.05,0.094488189,0.905511811,0.2,0.8
-0.83,0.08,0.03213466,0.96786534,0.15,0.85
-0.9,0.4,0.009397024,0.990602976,0.1,0.9
-0.95,0.36,0.002365931,0.997634069,0.07,0.93
-0.96,0.45,0.000499023,0.999500977,0.02,0.98
-0.8,0.39,0.001033138,0.998966862,0.05,0.95
-0.9,0.43,0.000172338,0.999827662,0.03,0.97
-0.12,0.1,0.285714286,0.714285714,0.25,0.75
-0.33,0.3,0.130434783,0.869565217,0.125,0.875
-0.48,0.5,0.049586777,0.950413223,0.1,0.9
-0.48,0.48,0.094488189,0.905511811,0.125,0.875
-0.31,0.35,0.17773238,0.82226762,0.166666667,0.833333333
-0.5,0.52,0.064349112,0.935650888,0.125,0.875
-0.6,0.6,0.019271237,0.980728763,0.1,0.9
-0.77,0.85,0.004888464,0.995111536,0.066666667,0.933333333
-0.92,0.92,0.001033138,0.998966862,0.05,0.95
-0.99,0.99,0.000172338,0.999827662,0.033333333,0.966666667
-0.05,-0.5,0.666666667,0.333333333,0.6,0.4
-0.8,-0.8,0.444444444,0.555555556,0.5,0.5
-0.4,0.2,0.230769231,0.769230769,0.35,0.65
-0.6,0.4,0.094488189,0.905511811,0.25,0.75
-0.2,0.23,0.17773238,0.82226762,0.3,0.7
-0.38,-0.4,0.317663168,0.682336832,0.5,0.5
0.22,-0.23,0.511597517,0.488402483,0.7,0.3
-0.38,-0.4,0.249977196,0.750022804,0.45,0.55
-0.58,0.25,0.086946866,0.913053134,0.3,0.7
-0.58,0.55,0.023253051,0.976746949,0.2,0.8
-0.78,-0.8,0.285714286,0.714285714,0.4,0.6
-0.82,-0.8,0.444444444,0.555555556,0.5,0.5
-0.7,-0.64,0.230769231,0.769230769,0.4,0.6
-0.62,-0.64,0.383259912,0.616740088,0.5,0.5
-0.8,-0.8,0.17773238,0.82226762,0.5,0.5
-0.88,-0.4,0.317663168,0.682336832,0.6,0.4
-0.64,-0.5,0.511597517,0.488402483,0.6,0.4
-0.25,-0.68,0.712303844,0.287696156,0.65,0.35
0,-0.83,0.860912589,0.139087411,0.65,0.35
0.2,-0.72,0.942876496,0.057123504,0.7,0.3
-0.85,-0.82,0.285714286,0.714285714,0.5,0.5
-0.8,-0.8,0.444444444,0.555555556,0.5,0.5
-0.45,-0.82,0.623655914,0.376344086,0.55,0.45
0.15,-0.75,0.781144781,0.218855219,0.7,0.3
0,-0.45,0.572368421,0.427631579,0.6,0.4
0,0,0.317663168,0.682336832,0.5,0.5
-0.2,0.2,0.12901859,0.87098141,0.4,0.6
-0.45,0.3,0.040604399,0.959395601,0.4,0.6
0,0,0.086946866,0.913053134,0.5,0.5
0,0,0.183727342,0.816272658,0.5,0.5
-0.2,-0.22,0.666666667,0.333333333,0.5,0.5
-0.1,-0.9,0.805555556,0.194444444,0.55,0.45
0.4,-0.38,0.899224806,0.100775194,0.6,0.4
0.43,-0.42,0.781144781,0.218855219,0.6,0.4
0.41,-0.52,0.889267462,0.110732538,0.7,0.3
0.5,-0.55,0.949954504,0.050045496,0.7,0.3
0.65,-0.69,0.979362101,0.020637899,0.73,0.27
0.59,-0.71,0.946795647,0.053204353,0.75,0.25
0.7,-0.74,0.979362101,0.020637899,0.75,0.25
0.85,-0.78,0.992723665,0.007276335,0.85,0.15
0.15,-0.1,0.666666667,0.333333333,0.5,0.5
0.08,-0.08,0.805555556,0.194444444,0.54,0.46
0.25,-0.27,0.899224806,0.100775194,0.55,0.45
0.4,-0.29,0.952554745,0.047445255,0.6,0.4
0.43,-0.33,0.979362101,0.020637899,0.8,0.2
0.46,-0.28,0.991641337,0.008358663,0.8,0.2
0.5,-0.35,0.99684904,0.00315096,0.8,0.2
0.48,-0.36,0.998901757,0.001098243,0.8,0.2
0.55,-0.55,0.999650297,0.000349703,0.85,0.15
0.67,-0.54,0.99990006,9.99E-05,0.85,0.15
-0.6,0,0.285714286,0.714285714,0.25,0.75
0.18,0,0.444444444,0.555555556,0.5,0.5
0.45,-0.15,0.623655914,0.376344086,0.8,0.2
0.38,-0.1,0.781144781,0.218855219,0.8,0.2
0.42,-0.17,0.889267462,0.110732538,0.8,0.2
0.33,-0.25,0.949954504,0.050045496,0.8,0.2
0.47,-0.52,0.979362101,0.020637899,0.9,0.1
0.1,0,0.946795647,0.053204353,0.8,0.2
0,0,0.860912589,0.139087411,0.5,0.5
0,0,0.942876496,0.057123504,0.5,0.5
0.37,0.35,0.666666667,0.333333333,0.75,0.25
0.42,0.32,0.444444444,0.555555556,0.5,0.5
0.38,0.22,0.623655914,0.376344086,0.5,0.5
0.5,0.07,0.781144781,0.218855219,0.5,0.5
0.6,-0.24,0.889267462,0.110732538,0.6,0.4
0.64,-0.27,0.949954504,0.050045496,0.6,0.4
0.6,-0.38,0.979362101,0.020637899,0.6,0.4
0.67,-0.45,0.992159658,0.007840342,0.7,0.3
0.66,-0.37,0.979362101,0.020637899,0.7,0.3
0.64,-0.4,0.992723665,0.007276335,0.7,0.3
-0.8,-0.8,0.666666667,0.333333333,0.666666667,0.333333333
-0.6,-0.77,0.805555556,0.194444444,0.666666667,0.333333333
-0.38,-0.77,0.899224806,0.100775194,0.85,0.15
-0.27,-0.56,0.781144781,0.218855219,0.85,0.15
0,-0.1,0.889267462,0.110732538,0.9,0.1
0.4,-0.61,0.949954504,0.050045496,0.92,0.08
0.52,-0.75,0.979362101,0.020637899,0.95,0.05
0.73,-0.77,0.992159658,0.007840342,0.96,0.04
0.76,-0.78,0.997258909,0.002741091,0.97,0.03
0.85,-0.9,0.999126201,0.000873799,0.97,0.03
